Age,Gender,MaritalStatus,Department,JobRole,JobLevel,OverTime,OverTimeFlag,MonthlyIncome,SalaryGroup,TotalWorkingYears,ExperienceGroup,YearsAtCompany,TenureGroup,StockOptionLevel,OverTime_LowSalary,EarlyCareer,Attrition,Attrition_Prob,RiskCategory
41,Female,Single,Sales,Sales Executive,2,Yes,1,5993,Mid-High,8,6-10,6,6-10,0,0,0,1,0.6208655634900456,Medium Risk
49,Male,Married,Research & Development,Research Scientist,2,No,0,5130,Mid-High,10,6-10,10,6-10,1,0,0,0,0.2541326220519185,Low Risk
37,Male,Single,Research & Development,Laboratory Technician,1,Yes,1,2090,Low,7,6-10,0,0-1,0,1,1,1,0.9449217473013248,High Risk
33,Female,Married,Research & Development,Research Scientist,1,Yes,1,2909,Low,8,6-10,8,6-10,0,1,0,0,0.849921554829425,High Risk
27,Male,Married,Research & Development,Laboratory Technician,1,No,0,3468,Mid-Low,6,6-10,2,2-3,1,0,0,0,0.3375762670317439,Low Risk
32,Male,Single,Research & Development,Laboratory Technician,1,No,0,3068,Mid-Low,8,6-10,7,6-10,0,0,0,0,0.4252260635467486,Medium Risk
59,Female,Married,Research & Development,Laboratory Technician,1,Yes,1,2670,Low,12,11-20,1,0-1,3,1,1,0,0.708169874872642,High Risk
30,Male,Divorced,Research & Development,Laboratory Technician,1,No,0,2693,Low,1,0-2,1,0-1,1,0,1,0,0.6571525739543078,Medium Risk
38,Male,Single,Research & Development,Manufacturing Director,3,No,0,9526,High,10,6-10,9,6-10,0,0,0,0,0.3783662101603526,Low Risk
36,Male,Married,Research & Development,Healthcare Representative,2,No,0,5237,Mid-High,17,11-20,7,6-10,2,0,0,0,0.18275745772032223,Low Risk
35,Male,Married,Research & Development,Laboratory Technician,1,No,0,2426,Low,6,6-10,5,4-5,1,0,0,0,0.32161887497916725,Low Risk
29,Female,Single,Research & Development,Laboratory Technician,2,Yes,1,4193,Mid-Low,10,6-10,9,6-10,0,0,0,0,0.6931402026601379,Medium Risk
31,Male,Divorced,Research & Development,Research Scientist,1,No,0,2911,Low,5,3-5,5,4-5,1,0,0,0,0.3403231789480053,Low Risk
34,Male,Divorced,Research & Development,Laboratory Technician,1,No,0,2661,Low,3,3-5,2,2-3,1,0,0,0,0.3338138727362934,Low Risk
28,Male,Single,Research & Development,Laboratory Technician,1,Yes,1,2028,Low,6,6-10,4,4-5,0,1,0,1,0.8687325755917085,High Risk
29,Female,Divorced,Research & Development,Manufacturing Director,3,No,0,9980,High,10,6-10,10,6-10,1,0,0,0,0.3159573860849504,Low Risk
32,Male,Divorced,Research & Development,Research Scientist,1,Yes,1,3298,Mid-Low,7,6-10,6,6-10,2,0,0,0,0.4502539421124709,Medium Risk
22,Male,Divorced,Research & Development,Laboratory Technician,1,Yes,1,2935,Mid-Low,1,0-2,1,0-1,2,0,1,0,0.7939266017783485,High Risk
53,Female,Married,Sales,Manager,4,No,0,15427,High,31,21+,25,11+,0,0,0,0,0.20469933895106884,Low Risk
38,Male,Single,Research & Development,Research Scientist,1,Yes,1,3944,Mid-Low,6,6-10,3,2-3,0,0,0,0,0.6299687283983658,Medium Risk
24,Female,Divorced,Research & Development,Manufacturing Director,2,No,0,4011,Mid-Low,5,3-5,4,4-5,1,0,0,0,0.3920220718101139,Low Risk
36,Male,Single,Sales,Sales Representative,1,No,0,3407,Mid-Low,10,6-10,5,4-5,0,0,0,1,0.38180973500502696,Low Risk
34,Female,Single,Research & Development,Research Director,3,No,0,11994,High,13,11-20,12,11+,0,0,0,0,0.3562366452782984,Low Risk
21,Male,Single,Research & Development,Research Scientist,1,No,0,1232,Low,0,0-2,0,0-1,0,0,1,0,0.7984496513625333,High Risk
34,Male,Single,Research & Development,Research Scientist,1,No,0,2960,Mid-Low,8,6-10,4,4-5,0,0,0,1,0.4076849407363437,Medium Risk
53,Female,Divorced,Research & Development,Manager,5,No,0,19094,High,26,21+,14,11+,1,0,0,0,0.13653175142192764,Low Risk
32,Female,Single,Research & Development,Research Scientist,1,Yes,1,3919,Mid-Low,10,6-10,10,6-10,0,0,0,1,0.6525560600104506,Medium Risk
42,Male,Married,Sales,Sales Executive,2,No,0,6825,Mid-High,10,6-10,9,6-10,1,0,0,0,0.26215914720537886,Low Risk
44,Female,Married,Research & Development,Healthcare Representative,3,No,0,10248,High,24,21+,22,11+,1,0,0,0,0.2076670082872133,Low Risk
46,Female,Single,Sales,Manager,5,No,0,18947,High,22,21+,2,2-3,0,0,0,0,0.2175976037435484,Low Risk
33,Male,Single,Research & Development,Laboratory Technician,1,No,0,2496,Low,7,6-10,1,0-1,0,0,1,0,0.7068384125516051,High Risk
